Description,Id,Invoices.Id,Invoices.CreatedAt,Invoices.Units,Invoices.UnitPrice,Description,Id
Sunflower,1,INV001,2024-01-01,20,123.00,Sunflower,1
DJ Koo,2,INV002,2024-01-02,1,2099.00,DJ Koo,2
30cm Cake,3,INV003,2024-01-03,1,100.00,30cm Cake,3
Photographer,4,INV004,2024-01-04,1,500.00,Photographer,4
Floral Decorations,5,INV005,2024-01-05,1,800.00,Floral Decorations,5
Balloon Decorations,6,INV006,2024-01-06,50,5.00,Balloon Decorations,6
Event Planner Fee,7,INV007,2024-01-07,1,1500.00,Event Planner Fee,7
Live Band,8,INV008,2024-01-08,1,3000.00,Live Band,8
Catering Service,9,INV009,2024-01-09,1,2000.00,Catering Service,9
Security Personnel,10,INV010,2024-01-10,5,150.00,Security Personnel,10
Event Venue Rental,11,INV011,2024-01-11,1,5000.00,Event Venue Rental,11
Table and Chair Rental,12,INV012,2024-01-12,10,50.00,Table and Chair Rental,12
Sound System Rental,13,INV013,2024-01-13,1,800.00,Sound System Rental,13
Stage Setup,14,INV014,2024-01-14,1,1500.00,Stage Setup,14
Event Signage,15,INV015,2024-01-15,1,200.00,Event Signage,15
Invitation Printing,16,INV016,2024-01-16,100,1.00,Invitation Printing,16
Transportation,17,INV017,2024-01-17,1,500.00,Transportation,17
Valet Service,18,INV018,2024-01-18,1,300.00,Valet Service,18
Coat Check Service,19,INV019,2024-01-19,1,200.00,Coat Check Service,19
Event Insurance,20,INV020,2024-01-20,1,1000.00,Event Insurance,20
